Emp Id,Emp Name,M-Y,Salary
12345,MMR,Jan-20,20000
,,Feb-20,20000
,,Mar-20,20000
,,Apr-20,20000
,,May-20,20000
,,Jun-20,20000
,,Jul-20,20000
,,Aug-20,20000
,,Sep-20,20000
,,Oct-20,20000
,,Nov-20,20000
,,Dec-20,20000
,,Jan-21,20000
,,Feb-21,20000
,,Mar-21,20000
12354,M,Jan-20,20000
,,Feb-20,20000
,,Mar-20,20000
,,Apr-20,20000
,,May-20,20000
,,Jun-20,20000
,,Jul-20,20000
,,Aug-20,20000
,,Sep-20,20000
,,Oct-20,20000
,,Nov-20,20000
,,Dec-20,20000
,,Jan-21,20000
,,Feb-21,20000
,,Mar-21,20000
12453,MR,Jan-20,20000
,,Feb-20,20000
,,Mar-20,20000
,,Apr-20,20000
,,May-20,20000
,,Jun-20,20000
,,Jul-20,20000
,,Aug-20,20000
,,Sep-20,20000
,,Oct-20,20000
,,Nov-20,20000
,,Dec-20,20000
,,Jan-21,20000
,,Feb-21,20000
,,Mar-21,20000
13452,MM,Jan-20,20000
,,Feb-20,20000
,,Mar-20,20000
,,Apr-20,20000
,,May-20,20000
,,Jun-20,20000
,,Jul-20,20000
,,Aug-20,20000
,,Sep-20,20000
,,Oct-20,20000
,,Nov-20,20000
,,Dec-20,20000
,,Jan-21,20000
,,Feb-21,20000
,,Mar-21,20000
23451,MMM,Jan-20,20000
,,Feb-20,20000
,,Mar-20,20000
,,Apr-20,20000
,,May-20,20000
,,Jun-20,20000
,,Jul-20,20000
,,Aug-20,20000
,,Sep-20,20000
,,Oct-20,20000
,,Nov-20,20000
,,Dec-20,20000
,,Jan-21,20000
,,Feb-21,20000
,,Mar-21,20000
